Keyword,Avg_Views,Std_Views,Avg_Likes,Avg_Comments,Avg_Engagement_Rate,Video_Count,Views_CV,Consistency_Score,Norm_Avg_Views,Norm_Avg_Likes,Norm_Avg_Comments,Norm_Avg_Engagement_Rate,Norm_Consistency_Score,Composite_Score,Engagement_Score,Avg_Engagement_Rate_eng,Video_Count_eng,Views_Forecast_Change_Pct,Engagement_Forecast_Change_Pct,Forecast_Momentum_Score,Best_Publish_Day,Best_Publish_Day_Score,Avg_Sentiment_Score,Strategy_Theme,Primary_Action,Risk_Level
trolling,1420141.02,2632992.934660723,61387.04,3056.82,5.300860534808378,50,1.8540362524425376,0.3503809733125083,0.011371969696278163,0.027758762913610957,0.026609880478221253,0.5486818061386711,0.47326031459960344,0.17134771227494447,3.7099999999999995,5.3,50,-100.0,-29.108055331112386,-78.73241659933372,Tuesday,0.33180827358108794,1.21,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Tuesday.,Moderate
game development,724688.54,1130043.4618248767,26178.68,1376.34,5.257323762736913,50,1.5593505339892317,0.39072412579659843,0.004627696172498535,0.011016008171559902,0.00899976275048477,0.5430647503392143,0.5643657546270398,0.17044098856670534,3.6820000000000004,5.26,50,-38.39576275472296,5.8402695960606135,-25.124953049487885,Tuesday,0.36809081125168236,1.67,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Tuesday.,Moderate
cnn,554240.38,395401.51978313364,8835.74,7574.74,3.107850890307412,50,0.7134116063198672,0.5836309245901744,0.0029747449706206525,0.002768859172682732,0.07395415299827218,0.26574265020656573,1.0,0.16938555596669033,2.1769999999999996,3.11,50,,,,Wednesday,0.16486764315781663,0.6,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",Moderate
history,15047130.12,64583954.23303306,273410.66,20190.02,2.8954259536848115,50,4.292111101451223,0.1889605075989006,0.14352210854683425,0.12858309750862848,0.2061524332327049,0.23833587047915308,0.10873048356888385,0.16854396116503595,2.027,2.9,50,-100.0,-41.21695037800034,-82.3650851134001,Tuesday,0.22730575761318617,1.18,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Tuesday.,High Volatility
how-to,7809284.916666667,13326190.365351964,158898.14583333334,6951.4375,3.592016423090582,48,1.7064546251745858,0.3694870738634655,0.07333182354841657,0.07412856058648423,0.06742242967815384,0.3282090363077819,0.5164069105080382,0.1675922434298128,2.513,3.59,48,52.61491709129719,-9.421117549108711,34.004106699175416,Tuesday,0.21952395775429304,1.55,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Tuesday.",Moderate
tutorial,6761032.02,11703104.702874605,167720.88,7935.4,3.401571418501265,50,1.7309642475076763,0.36617103314795013,0.06316620553636446,0.07832406626487465,0.07773358807615793,0.30363807786028774,0.5089184191548881,0.16178085001666223,2.383,3.4,50,-100.0,-5.95942479491044,-71.78782743847313,Monday,0.20252717638693127,1.72,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Monday.",Moderate
mukbang,10904772.355555555,23634875.161449827,141406.66666666666,7451.377777777778,3.21243234626615,45,2.167388221488987,0.31571753447068784,0.10335086090563576,0.06581077623744906,0.07266141327123675,0.27923560904936623,0.39498116054009874,0.154044934037311,2.247,3.21,45,-100.0,-32.63834434010886,-79.79150330203265,Wednesday,0.21614118548691397,1.64,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,Moderate
minecraft,1812770.74,4841982.47356563,61179.56,2843.72,5.180133179718266,50,2.67103962278519,0.27240239898073004,0.015179565903635147,0.02766009922254779,0.024376758936887438,0.5331057250973654,0.29716420188232195,0.15129880661068287,3.626,5.18,50,-100.0,21.338802751166963,-63.598359174649914,Wednesday,0.37986145942671123,1.43,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,Moderate
education,2684432.8333333335,4282023.177586986,62292.333333333336,4113.458333333333,3.981201055029354,24,1.5951314275462354,0.38533693877135394,0.023632663342802132,0.02818926022304582,0.037682624840331636,0.3784211142795415,0.5522000706329953,0.15116840593472397,2.786,3.98,24,-100.0,-40.6012829700469,-82.18038489101407,Wednesday,0.45201858777290727,1.26,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",Moderate
nintendo,1665042.25,4746718.839924083,44573.541666666664,3694.7291666666665,5.260850048961574,48,2.8508098457706303,0.2596856349835883,0.013746942723090958,0.01976338116476255,0.0332946702553101,0.5435197070469892,0.26844640695686206,0.15028427520602586,3.682,5.26,48,-100.0,-9.75915892654609,-72.92774767796382,Wednesday,0.36013181468983485,1.54,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,Moderate
tech,1918806.9375,2543579.460903476,60534.416666666664,3152.1666666666665,3.6565825495373527,48,1.3256046823644945,0.42999569427392,0.016207870697891567,0.027353311953743752,0.027609039066807395,0.3365392711357332,0.6530512763671902,0.14846781327734335,2.559,3.66,48,95.18803336232477,-4.938036704622979,65.15021234224044,Tuesday,0.21935072618022763,1.5,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Tuesday.",Moderate
xbox,1703980.918367347,4253921.9222499635,38820.06122448979,2870.4285714285716,4.9687980157463825,49,2.49646100868654,0.28600347537570686,0.014124557351945446,0.01702740845951429,0.024656643902609618,0.5058395463721986,0.3278790065892622,0.14652998761137437,3.4789999999999996,4.97,49,-100.0,-35.166995074187355,-80.5500985222562,Wednesday,0.414651700437633,1.48,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,Moderate
asmr,1706615.82,5858176.221215874,36615.3,1227.3,5.551703033346345,50,3.4326273977794686,0.22559983284427462,0.01415010977692043,0.01597897063263406,0.0074379399700042845,0.5810451680537452,0.1914717083679265,0.1442846195011455,3.885,5.55,50,-100.0,-15.667857328466923,-74.70035719854008,Wednesday,0.3746363538981846,1.74,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,High Volatility
computer science,1191958.7083333333,1676961.1449437402,33663.541666666664,1170.7708333333333,3.8790674250822055,48,1.4068953338900185,0.41547298958937384,0.009159131339344944,0.014575310654356018,0.006845558459929284,0.3652439706577659,0.6202551927890448,0.1421062266351182,2.713,3.88,48,268.82953663310445,-22.795683169064215,181.34197069245386,Saturday,0.22451316270908883,1.62,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Saturday.",Moderate
data science,544771.98,740225.4065722141,17175.78,517.52,3.8875961097789586,50,1.3587802488891116,0.4239479283714364,0.0028829234856608816,0.006734827603444502,0.0,0.3663443300909136,0.6393938316757775,0.13942009175214765,2.7230000000000003,3.89,50,264.05546776404884,5.32707703223075,186.4369505445034,Friday,0.21246530105065373,1.7,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Friday.",Moderate
interview,2966111.86,4265232.697092076,73326.94,5428.24,2.9692912788557875,50,1.4379878097692769,0.4101743232648225,0.026364295562665684,0.03343658537806586,0.051460509692439114,0.2478658754241529,0.6082894117993916,0.13529082394767045,2.079,2.97,50,-22.952591182168128,19.695620681397468,-10.158127623098448,Wednesday,0.19617920197178723,1.62,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,Moderate
biology,4121605.829787234,5088295.0420322055,66483.78723404255,4292.446808510638,2.586421605532729,47,1.234541887838623,0.44751902188204545,0.03756990286357438,0.030182436976299524,0.03955828424703709,0.19846854492281893,0.6926235550361114,0.13417517959191455,1.813,2.59,47,-100.0,-9.559528518175755,-72.86785855545273,Saturday,0.16596902276303002,1.51,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Saturday.,Moderate
apple,10746930.452380951,65573836.07386858,118078.90476190476,8618.857142857143,3.9367608662274884,42,6.1016339841801885,0.14081266399079842,0.10182016111070015,0.05471764391738671,0.08489568506486157,0.37268750086813107,0.0,0.1330062143032859,2.755,3.94,42,-100.0,20.84852494894655,-63.745442515316036,Wednesday,0.2939223311531737,1.41,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",High Volatility
mathchemistry,3328125.2666666666,4991459.771706919,93848.66666666667,5368.8,2.842258872000359,15,1.4997812196853366,0.4000350079139631,0.02987498465221393,0.04319535393369893,0.050837624922768165,0.2314763250809406,0.5853921732412178,0.1326035735072675,1.988,2.84,15,-100.0,-18.892093413758847,-75.66762802412765,Monday,0.15894612346109618,1.71,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Monday.,Moderate
food,5252406.25,8559424.120906057,95014.64583333333,5523.208333333333,2.662673494345199,48,1.6296195902413406,0.38028314198413093,0.048536040096588254,0.04374981609046626,0.05245570364321921,0.20830646110021836,0.5407872694075389,0.12954193513651113,1.865,2.66,48,-100.0,-25.131482483024126,-77.53944474490724,Friday,0.18019883011103832,1.65,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Friday.,Moderate
literature,863021.2391304348,968530.9434502264,17825.41304347826,879.8478260869565,2.8394526048827835,46,1.1222562082320262,0.4711966425736425,0.005969202007977566,0.007043749879838197,0.0037969125924891306,0.23111426427032908,0.7460938447652392,0.12479113042744847,1.9879999999999998,2.84,46,-100.0,-33.54948816867739,-80.06484645060321,Tuesday,0.17926712674415007,1.59,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Tuesday.",Moderate
chess,1323293.9574468085,2528216.05920344,36042.382978723406,1472.3191489361702,3.709409242208469,47,1.9105475733308974,0.3435779607806159,0.010432778164696711,0.01570652939496265,0.010005549259204844,0.34335490000108254,0.4578973245488224,0.12273296163534127,2.597,3.71,47,1034.2742845244602,-20.334217282438676,717.8917339823905,Wednesday,0.2941721704484655,1.45,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",Moderate
physics,3692387.28,6885789.47584257,98700.9,4441.2,2.846452412275791,50,1.864861119292603,0.3490570601366261,0.033407480002928126,0.04550275344481517,0.041117101498360634,0.23201737000925324,0.47027057073924355,0.1207767460652886,1.995,2.85,50,-100.0,-16.809135805321773,-75.04274074159653,Tuesday,0.17206814155913838,1.55,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Tuesday.,Moderate
sat,1065868.7142857143,2878384.089389255,31030.79591836735,2027.4897959183672,4.0369251184759625,49,2.700505278755824,0.2702333667082939,0.00793635130343381,0.013323351847926148,0.015823303979487217,0.3856105580269621,0.2922659570143252,0.11455894386333776,2.825,4.04,49,-100.0,-14.220052311203574,-74.26601569336107,Monday,0.24079083223289344,1.4,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Monday.,Moderate
business,7236354.520833333,30897484.760581866,71985.14583333333,1840.3958333333333,3.231686318978643,48,4.269758297721396,0.1897620238925175,0.06777572962293753,0.032798517298586585,0.013862705396182938,0.2817197307226442,0.11054051798917179,0.09706296136928118,2.264,3.23,48,-100.0,-24.557901246995055,-77.36737037409851,Wednesday,0.2510907283265549,1.5,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,High Volatility
machine learning,1260098.16,2438555.538109473,33866.94,1186.02,2.7074116735101357,50,1.935210776047378,0.3406910359421012,0.00981992573294659,0.014672033376173848,0.007005357815024182,0.2140785208276378,0.451377889612677,0.09523494908491886,1.897,2.71,50,851.5640171597196,-35.55692699194656,585.4277339142197,Tuesday,0.19103788023434953,1.74,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Tuesday.",Moderate
news,247492.1794871795,326728.1096986551,3013.102564102564,1183.4358974358975,2.0000751915310797,39,1.3201552888485517,0.43100563346183635,0.0,0.0,0.006978278438670765,0.12281891890432729,0.6553319844539555,0.09149263791399517,1.4,2.0,39,,,,Wednesday,0.15244913304370314,0.78,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",Moderate
sports,8601204.734693877,17600318.25163506,90518.87755102041,3828.0204081632655,1.3195417980681823,49,2.046261982422334,0.32827117489245544,0.08101160615797358,0.04161192765351955,0.03469145834849256,0.035017415425841934,0.42333057956535675,0.08890070008949856,0.924,1.32,49,-100.0,-35.66278841658724,-80.69883652497617,Monday,0.0872889988502956,1.5,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Monday.,Moderate
lofi,3989972.2195121953,13431696.082813261,73436.0,2399.9268292682927,2.7050560922290763,41,3.366363308778974,0.22902354414471382,0.03629336262804676,0.03348844706182983,0.019726153167493682,0.2137746068977271,0.19920334819643096,0.08420618503346726,1.8940000000000001,2.71,41,-100.0,-34.404497567794685,-80.3213492703384,Wednesday,0.18388111606894902,1.83,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,High Volatility
finance,694223.4358974359,1817823.7469834755,13235.48717948718,1084.025641025641,2.2736898723921612,39,2.618499539177239,0.27635764193778956,0.0043322554329700575,0.004861086358305258,0.005936536603761046,0.1581203171665695,0.30609617987190596,0.06569288264280877,1.589,2.27,39,-100.0,58.16597491215458,-52.55020752635363,Wednesday,0.14551154787487733,1.21,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Wednesday.",Moderate
movies,4788636.4,12185489.17997182,30773.28888888889,3460.9777777777776,1.3977371099546045,45,2.544667868283301,0.28211387841092844,0.04403854988635527,0.013200898628323987,0.03084513828982688,0.04510606943539902,0.31909527450126374,0.06295151368674293,0.98,1.4,45,-80.52384517074522,-38.328450100603376,-67.86522664970266,Saturday,0.11093741766339917,1.49,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Saturday.,Moderate
